Type,Product,Unit,TickSize
futures,ag,15,1.0
futures,al,5,5.0
futures,ao,20,1.0
futures,au,1000,0.02
futures,bc,5,10.0
futures,br,5,5.0
futures,bu,10,1.0
futures,cu,5,10.0
futures,fu,10,1.0
futures,hc,10,1.0
futures,lu,10,1.0
futures,ni,1,10.0
futures,nr,10,5.0
futures,pb,5,5.0
futures,rb,10,1.0
futures,ru,10,5.0
futures,sc,1000,0.1
futures,sn,1,10.0
futures,sp,10,2.0
futures,ss,5,5.0
futures,wr,10,1.0
futures,zn,5,5.0
option,ag,15,0.5
option,al,5,1.0
option,au,1000,0.02
option,br,5,1.0
option,cu,5,2.0
option,rb,10,0.5
option,ru,10,1.0
option,sc,1000,0.05
option,zn,5,1.0
